patient	GATA3	FOXA1
TCGA.D8.A1J8.01	NA	NA
TCGA.D8.A1JF.01	NA	NA
TCGA.D8.A1JG.01	NA	NA
TCGA.D8.A1XS.01	NA	NA
TCGA.A1.A0SB.01	NA	NA
TCGA.A1.A0SF.01	NA	NA
TCGA.A1.A0SG.01	NA	NA
TCGA.A1.A0SI.01	NA	NA
TCGA.A1.A0SN.01	NA	NA
TCGA.A1.A0SQ.01	NA	NA
TCGA.A2.A1FV.01	NA	NA
TCGA.A2.A1FW.01	NA	NA
TCGA.A2.A1FX.01	NA	NA
TCGA.A2.A1FZ.01	NA	NA
TCGA.A2.A1G0.01	NA	NA
TCGA.A2.A1G1.01	NA	NA
TCGA.A2.A1G4.01	NA	NA
TCGA.A2.A1G6.01	NA	NA
TCGA.A2.A259.01	NA	NA
TCGA.A2.A25A.01	NA	NA
TCGA.A2.A25B.01	NA	NA
TCGA.A2.A25C.01	NA	NA
TCGA.A2.A25D.01	NA	NA
TCGA.A2.A25E.01	NA	NA
TCGA.A2.A25F.01	NA	NA
TCGA.A7.A26F.01	NA	NA
TCGA.A7.A26G.01	NA	NA
TCGA.A7.A26H.01	NA	NA
TCGA.A7.A26I.01	NA	NA
TCGA.A7.A26J.01	NA	NA
TCGA.A8.A08S.01	2.62875	4.4695
TCGA.A8.A09E.01	2.267	3.1905
TCGA.A8.A09K.01	3.49425	3.71
TCGA.AC.A23C.01	NA	NA
TCGA.AC.A23E.01	NA	NA
TCGA.AC.A23H.01	NA	NA
TCGA.AO.A1KR.01	NA	NA
TCGA.AQ.A1H2.01	NA	NA
TCGA.AQ.A1H3.01	NA	NA
TCGA.AR.A24H.01	NA	NA
TCGA.AR.A24K.01	NA	NA
TCGA.AR.A24L.01	NA	NA
TCGA.AR.A24M.01	NA	NA
TCGA.AR.A24N.01	NA	NA
TCGA.AR.A24O.01	NA	NA
TCGA.AR.A24P.01	NA	NA
TCGA.AR.A24Q.01	NA	NA
TCGA.AR.A24R.01	NA	NA
TCGA.AR.A24S.01	NA	NA
TCGA.AR.A24T.01	NA	NA
TCGA.AR.A24U.01	NA	NA
TCGA.AR.A24V.01	NA	NA
TCGA.AR.A24X.01	NA	NA
TCGA.AR.A24Z.01	NA	NA
TCGA.AR.A250.01	NA	NA
TCGA.AR.A251.01	NA	NA
TCGA.AR.A252.01	NA	NA
TCGA.AR.A254.01	NA	NA
TCGA.AR.A255.01	NA	NA
TCGA.BH.A0B2.01	NA	NA
TCGA.BH.A0DV.01	NA	NA
TCGA.BH.A201.01	NA	NA
TCGA.BH.A202.01	NA	NA
TCGA.BH.A28Q.01	NA	NA
TCGA.C8.A1HE.01	NA	NA
TCGA.C8.A1HJ.01	NA	NA
TCGA.C8.A1HK.01	NA	NA
TCGA.C8.A1HO.01	NA	NA
TCGA.C8.A26V.01	NA	NA
TCGA.C8.A26W.01	NA	NA
TCGA.C8.A26X.01	NA	NA
TCGA.C8.A26Y.01	NA	NA
TCGA.C8.A26Z.01	NA	NA
TCGA.C8.A273.01	NA	NA
TCGA.C8.A274.01	NA	NA
TCGA.C8.A275.01	NA	NA
TCGA.C8.A278.01	NA	NA
TCGA.C8.A27A.01	NA	NA
TCGA.C8.A27B.01	NA	NA
TCGA.D8.A146.01	2.232625	3.68925
TCGA.D8.A1J9.01	NA	NA
TCGA.D8.A1JA.01	NA	NA
TCGA.D8.A1JB.01	NA	NA
TCGA.D8.A1JC.01	NA	NA
TCGA.D8.A1JD.01	NA	NA
TCGA.D8.A1JE.01	NA	NA
TCGA.D8.A1JI.01	NA	NA
TCGA.D8.A1JJ.01	NA	NA
TCGA.D8.A1JK.01	NA	NA
TCGA.D8.A1JL.01	NA	NA
TCGA.D8.A1JM.01	NA	NA
TCGA.D8.A1JN.01	NA	NA
TCGA.D8.A1JP.01	NA	NA
TCGA.D8.A1X5.01	NA	NA
TCGA.D8.A1X6.01	NA	NA
TCGA.D8.A1X7.01	NA	NA
TCGA.D8.A1X8.01	NA	NA
TCGA.D8.A1X9.01	NA	NA
TCGA.D8.A1XA.01	NA	NA
TCGA.D8.A1XB.01	NA	NA
TCGA.D8.A1XC.01	NA	NA
TCGA.D8.A1XD.01	NA	NA
TCGA.D8.A1XF.01	NA	NA
TCGA.D8.A1XG.01	NA	NA
TCGA.D8.A1XJ.01	NA	NA
TCGA.D8.A1XK.01	NA	NA
TCGA.D8.A1XL.01	NA	NA
TCGA.D8.A1XM.01	NA	NA
TCGA.D8.A1XQ.01	NA	NA
TCGA.D8.A1XR.01	NA	NA
TCGA.D8.A1XU.01	NA	NA
TCGA.D8.A1XV.01	NA	NA
TCGA.D8.A1XW.01	NA	NA
TCGA.D8.A1XY.01	NA	NA
TCGA.D8.A1XZ.01	NA	NA
TCGA.D8.A1Y0.01	NA	NA
TCGA.D8.A1Y1.01	NA	NA
TCGA.D8.A1Y2.01	NA	NA
TCGA.D8.A1Y3.01	NA	NA
TCGA.D8.A27E.01	NA	NA
TCGA.D8.A27F.01	NA	NA
TCGA.D8.A27G.01	NA	NA
TCGA.D8.A27H.01	NA	NA
TCGA.D8.A27I.01	NA	NA
TCGA.D8.A27K.01	NA	NA
TCGA.D8.A27L.01	NA	NA
TCGA.D8.A27M.01	NA	NA
TCGA.D8.A27N.01	NA	NA
TCGA.D8.A27P.01	NA	NA
TCGA.D8.A27R.01	NA	NA
TCGA.D8.A27T.01	NA	NA
TCGA.D8.A27V.01	NA	NA
TCGA.D8.A27W.01	NA	NA
TCGA.E2.A1IE.01	NA	NA
TCGA.E2.A1IF.01	NA	NA
TCGA.E2.A1IG.01	NA	NA
TCGA.E2.A1IH.01	NA	NA
TCGA.E2.A1II.01	NA	NA
TCGA.E2.A1IJ.01	NA	NA
TCGA.E2.A1IK.01	NA	NA
TCGA.E2.A1IL.01	NA	NA
TCGA.E2.A1IN.01	NA	NA
TCGA.E2.A1IO.01	NA	NA
TCGA.E2.A1IP.01	NA	NA
TCGA.E2.A1IU.01	NA	NA
TCGA.E2.A1L6.01	NA	NA
TCGA.E2.A1L7.01	NA	NA
TCGA.E2.A1L8.01	NA	NA
TCGA.E2.A1L9.01	NA	NA
TCGA.E2.A1LA.01	NA	NA
TCGA.E2.A1LB.01	NA	NA
TCGA.E2.A1LG.01	NA	NA
TCGA.E2.A1LH.01	NA	NA
TCGA.E2.A1LI.01	NA	NA
TCGA.E2.A1LL.01	NA	NA
TCGA.E2.A1LS.01	NA	NA
TCGA.E9.A1N3.01	NA	NA
TCGA.E9.A1N4.01	NA	NA
TCGA.E9.A1N5.01	NA	NA
TCGA.E9.A1N6.01	NA	NA
TCGA.E9.A1N8.01	NA	NA
TCGA.E9.A1N9.01	NA	NA
TCGA.E9.A1NA.01	NA	NA
TCGA.E9.A1NC.01	NA	NA
TCGA.E9.A1ND.01	NA	NA
TCGA.E9.A1NE.01	NA	NA
TCGA.E9.A1NF.01	NA	NA
TCGA.E9.A1NG.01	NA	NA
TCGA.E9.A1NH.01	NA	NA
TCGA.E9.A1NI.01	NA	NA
TCGA.E9.A1QZ.01	NA	NA
TCGA.E9.A1R0.01	NA	NA
TCGA.E9.A1R2.01	NA	NA
TCGA.E9.A1R3.01	NA	NA
TCGA.E9.A1R4.01	NA	NA
TCGA.E9.A1R5.01	NA	NA
TCGA.E9.A1R6.01	NA	NA
TCGA.E9.A1R7.01	NA	NA
TCGA.E9.A1RA.01	NA	NA
TCGA.E9.A1RB.01	NA	NA
TCGA.E9.A1RC.01	NA	NA
TCGA.E9.A1RD.01	NA	NA
TCGA.E9.A1RE.01	NA	NA
TCGA.E9.A1RF.01	NA	NA
TCGA.E9.A1RG.01	NA	NA
TCGA.E9.A1RH.01	NA	NA
TCGA.E9.A1RI.01	NA	NA
TCGA.E9.A226.01	NA	NA
TCGA.E9.A227.01	NA	NA
TCGA.E9.A228.01	NA	NA
TCGA.E9.A229.01	NA	NA
TCGA.E9.A22A.01	NA	NA
TCGA.E9.A22B.01	NA	NA
TCGA.E9.A22D.01	NA	NA
TCGA.E9.A22E.01	NA	NA
TCGA.E9.A22G.01	NA	NA
TCGA.E9.A22H.01	NA	NA
TCGA.E9.A243.01	NA	NA
TCGA.E9.A244.01	NA	NA
TCGA.E9.A245.01	NA	NA
TCGA.E9.A247.01	NA	NA
TCGA.E9.A248.01	NA	NA
TCGA.E9.A249.01	NA	NA
TCGA.E9.A24A.01	NA	NA
TCGA.EW.A1IW.01	NA	NA
TCGA.EW.A1IX.01	NA	NA
TCGA.EW.A1IY.01	NA	NA
TCGA.EW.A1IZ.01	NA	NA
TCGA.EW.A1J1.01	NA	NA
TCGA.EW.A1J2.01	NA	NA
TCGA.EW.A1J3.01	NA	NA
TCGA.EW.A1J5.01	NA	NA
TCGA.EW.A1J6.01	NA	NA
TCGA.EW.A1OV.01	NA	NA
TCGA.EW.A1OW.01	NA	NA
TCGA.EW.A1OX.01	NA	NA
TCGA.EW.A1OY.01	NA	NA
TCGA.EW.A1OZ.01	NA	NA
TCGA.EW.A1P0.01	NA	NA
TCGA.EW.A1P1.01	NA	NA
TCGA.EW.A1P3.01	NA	NA
TCGA.EW.A1P4.01	NA	NA
TCGA.EW.A1P5.01	NA	NA
TCGA.EW.A1P6.01	NA	NA
TCGA.EW.A1P7.01	NA	NA
TCGA.EW.A1PA.01	NA	NA
TCGA.EW.A1PB.01	NA	NA
TCGA.EW.A1PD.01	NA	NA
TCGA.EW.A1PE.01	NA	NA
TCGA.EW.A1PF.01	NA	NA
TCGA.EW.A1PG.01	NA	NA
TCGA.EW.A1PH.01	NA	NA
TCGA.EW.A2FS.01	NA	NA
TCGA.EW.A2FV.01	NA	NA
TCGA.EW.A2FW.01	NA	NA
TCGA.GM.A2DA.01	NA	NA
TCGA.GM.A2DB.01	NA	NA
TCGA.GM.A2DC.01	NA	NA
TCGA.GM.A2DD.01	NA	NA
TCGA.GM.A2DF.01	NA	NA
TCGA.GM.A2DH.01	NA	NA
TCGA.GM.A2DI.01	NA	NA
TCGA.GM.A2DK.01	NA	NA
TCGA.GM.A2DL.01	NA	NA
TCGA.GM.A2DM.01	NA	NA
TCGA.GM.A2DN.01	NA	NA
TCGA.GM.A2DO.01	NA	NA
TCGA.AR.A24W.01	NA	NA
TCGA.AC.A2B8.01	NA	NA
TCGA.AC.A2FF.01	NA	NA
TCGA.AC.A2FB.01	NA	NA
TCGA.AC.A2FG.01	NA	NA
TCGA.GI.A2C8.01	NA	NA
TCGA.E9.A295.01	NA	NA
