patient	GATA3	FOXA1
TCGA.AO.A03L.01	1.7015	3.008
TCGA.B6.A0RH.01	2.1335	3.119875
TCGA.A8.A075.01	1.710625	3.318125
TCGA.A8.A076.01	1.62275	3.29125
TCGA.A8.A07B.01	2.115375	3.153
TCGA.A8.A07I.01	1.544	3.766375
TCGA.A8.A081.01	1.476875	3.390375
TCGA.A8.A08B.01	2.15	3.340375
TCGA.A8.A08X.01	-1.908375	1.72925
TCGA.A8.A092.01	1.57875	3.66875
TCGA.A8.A094.01	-0.40325	2.45
TCGA.A8.A09G.01	0.339125	3.403625
TCGA.A8.A0A7.01	-1.107125	1.4125
TCGA.AN.A04C.01	-0.16375	2.805375
TCGA.AN.A0FV.01	1.188625	3.455875
TCGA.AR.A0TX.01	1.218875	3.6405
TCGA.BH.A0B7.01	0.64825	2.850625
TCGA.BH.A0HY.01	1.207625	3.141625
TCGA.C8.A12L.01	-0.696875	1.85575
TCGA.C8.A12P.01	-3.538125	2.23725
TCGA.C8.A12Q.01	0.361	2.633625
TCGA.C8.A12T.01	1.99325	3.06625
TCGA.C8.A12Z.01	1.090125	3.236625
TCGA.C8.A130.01	1.045875	2.857875
TCGA.C8.A135.01	-0.359375	2.803375
TCGA.C8.A137.01	1.673	2.839375
TCGA.C8.A138.01	2.19025	3.325
TCGA.C8.A1HF.01	1.233875	2.86325
TCGA.D8.A13Z.01	-3.908875	3.076625
TCGA.E2.A14P.01	0.358375	2.852375
TCGA.E2.A14V.01	1.543125	3.14075
TCGA.E2.A152.01	1.3415	2.72125
TCGA.E2.A1B0.01	-2.806875	2.467625
TCGA.A2.A0CU.01	2.26375	2.9375
TCGA.AR.A0TR.01	2.9515	4.284625
TCGA.BH.A18T.01	1.932625	3.268625
TCGA.B6.A0I8.01	1.64125	3.658375
TCGA.B6.A0X4.01	2.653625	3.89875
TCGA.A8.A06U.01	2.674125	3.445
TCGA.BH.A0EA.01	3.87625	3.161375
TCGA.BH.A18N.01	2.01125	3.31025
TCGA.BH.A1EU.01	1.529875	3.281125
TCGA.B6.A0X7.01	2.9905	3.796
TCGA.A2.A04V.01	3.93	4.254125
TCGA.BH.A18S.01	2.751875	4.05175
TCGA.BH.A18M.01	1.00375	2.534375
TCGA.B6.A0RM.01	2.932	3.84025
TCGA.BH.A1ET.01	2.574375	3.844875
TCGA.B6.A0IN.01	1.104875	3.014375
TCGA.BH.A1EO.01	1.39125	2.329
TCGA.B6.A0WS.01	2.615375	2.519125
TCGA.B6.A0RP.01	2.205875	3.862375
TCGA.B6.A0IH.01	2.538875	3.227375
TCGA.B6.A0WY.01	1.623875	2.788875
TCGA.BH.A1ES.01	2.237125	3.830375
TCGA.B6.A0X0.01	2.5735	3.1265
TCGA.B6.A0RQ.01	1.463375	2.767125
TCGA.B6.A0IG.01	2.597	3.295375
TCGA.BH.A0HO.01	1.487125	3.676125
TCGA.BH.A0DS.01	2.237125	3.478375
TCGA.BH.A0DQ.01	2.199625	2.795625
TCGA.BH.A0HK.01	2.50575	3.17525
TCGA.A7.A0CG.01	1.216	3.531375
TCGA.A7.A0CH.01	2.484625	4.641875
TCGA.A7.A0DB.01	1.926625	3.114625
TCGA.A7.A0D9.01	2.834875	3.393625
TCGA.AO.A0J8.01	2.521625	3.78425
TCGA.BH.A0GZ.01	2.162	3.956625
TCGA.AO.A0JA.01	1.434375	2.9725
TCGA.AO.A0JF.01	1.575875	3.10325
TCGA.A7.A0CD.01	3.138875	3.957375
TCGA.D8.A145.01	2.379875	3.402875
TCGA.BH.A0HP.01	2.089375	3.238375
TCGA.BH.A0DK.01	2.305375	3.151125
TCGA.BH.A0E2.01	2.968375	2.974375
TCGA.A2.A0YI.01	2.33425	3.27225
TCGA.A2.A0YL.01	1.97175	3.446875
TCGA.AO.A0JG.01	3.765875	3.92525
TCGA.A2.A0YF.01	1.73025	3.9135
TCGA.BH.A0DP.01	2.539375	3.07875
TCGA.BH.A0E1.01	1.97975	3.434375
TCGA.A2.A0T5.01	1.94425	2.863375
TCGA.A2.A0T6.01	1.92775	3.46475
TCGA.BH.A0HI.01	2.14075	3.943875
TCGA.A2.A0T7.01	1.703	3.06375
TCGA.BH.A0BJ.01	2.17125	2.82475
TCGA.BH.A0H7.01	1.187375	2.22075
TCGA.BH.A0HF.01	1.811875	3.1485
TCGA.BH.A0EB.01	2.523375	3.623125
TCGA.BH.A0H6.01	1.663375	3.42475
